objectID,name,dominantColor,gender,image
82562452587,ECCO BIOM INFINITE,White,Male,https://p3.aprimocdn.net/ecco/af88b0cd-8851-45e8-87cf-b1100115c1bf/825624-52587-o_eCom.png
82562451052,ECCO BIOM INFINITE,Black,Male,https://p3.aprimocdn.net/ecco/13f4d08e-954e-4494-a049-b110008a6458/825624-51052-o_eCom.png
82562358420,ECCO BIOM INFINITE,Pink,Female,https://p3.aprimocdn.net/ecco/83b61457-4b63-4cf0-becc-b16b00e23358/825623-58420-o_eCom.png
82562352587,ECCO BIOM INFINITE,White,Female,https://p3.aprimocdn.net/ecco/221c71c0-0460-4565-ac51-b11000c10528/825623-52587-o_eCom.png
82431451094,ECCO ULT-TRN,Black,Male,https://p3.aprimocdn.net/ecco/57fe8cbb-505d-4555-8c7e-b08200f639b2/824314-51094-o_eCom.png
82283461056,ECCO BIOM 2.1 X COUNTRY,Blue,Male,https://p3.aprimocdn.net/ecco/82bd7ea4-2b82-45c9-af07-b0c500f18f17/822834-61056-o_eCom.png
52571401053,ECCO METROPOLE LONDON,Brown,Male,https://p3.aprimocdn.net/ecco/481c46d1-1858-4689-8f86-b0c500dcdae4/525714-01053-o_eCom.png
52571401001,ECCO METROPOLE LONDON,Black,Male,https://p3.aprimocdn.net/ecco/7de4a89b-af37-486a-9ee6-b0c0011160a9/525714-01001-o_eCom.png
52569401482,ECCO METROPOLE LONDON,Brown,Male,https://p3.aprimocdn.net/ecco/144f9ed3-bdc7-486e-965b-b0c000ac0f91/525694-01482-o_eCom.png
52569401001,ECCO METROPOLE LONDON,Black,Male,https://p3.aprimocdn.net/ecco/800328ee-ea3f-45c0-bf5f-b0c000a74b45/525694-01001-o_eCom.png
52561411001,ECCO METROPOLE LONDON,Black,Male,https://p3.aprimocdn.net/ecco/e407aff8-2bd1-40db-937f-b0be017722b3/525614-11001-o_eCom.png
52561401053,ECCO METROPOLE LONDON,Brown,Male,https://p3.aprimocdn.net/ecco/ebff865a-7c11-48b2-87dd-b06200b240c0/525614-01053-o_eCom.png
52231401178,ECCO METROPOLE SEOUL,Brown,Male,https://p3.aprimocdn.net/ecco/475b9ed6-d6af-4df9-aa54-b1550098ebca/522314-01178-o_eCom.png
52231401001,ECCO METROPOLE SEOUL,Black,Male,https://p3.aprimocdn.net/ecco/096647f3-d0fa-4814-8bc3-b1540093c862/522314-01001-o_eCom.png
42021358290,ECCO SOLICE,Brown,Female,https://p3.aprimocdn.net/ecco/3d5dedbe-b9fa-4a99-aaa9-b0c200feeaa9/420213-58290-o_eCom.png
42021351052,ECCO SOLICE,Black,Female,https://p3.aprimocdn.net/ecco/0cc5c372-6112-4b85-84a9-b086008b47d7/420213-51052-o_eCom.png
22353301001,ECCO METROPOLE SEOUL 45,Black,Female,https://p3.aprimocdn.net/ecco/0cd1081c-1afd-4f82-93b5-b1a300ff0512/223533-01001-o_eCom.png
22270301001,ECCO SCULPTED LX 55,Black,Female,https://p3.aprimocdn.net/ecco/54e70ed5-c4c8-48ec-af38-b0a4009d4a11/222703-01001-o_eCom.png
22261301001,ECCO SCULPTED LX 55,Black,Female,https://p3.aprimocdn.net/ecco/305249e6-6658-4824-918b-b04c0101229f/222613-01001-o_eCom.png
22248301178,ECCO SCULPTED LX 35,Brown,Female,https://p3.aprimocdn.net/ecco/ecebdebf-f38e-44fd-a687-b0be00973778/222483-01178-o_eCom.png
21831361068,ECCO GRUUV,Beige,Female,https://p3.aprimocdn.net/ecco/480508a3-751b-456f-93b2-b0b90116308f/218313-61068-o_eCom.png
21831351052,ECCO GRUUV,Black,Female,https://p3.aprimocdn.net/ecco/3b7588e3-0336-4958-b1fe-b0be0107f87e/218313-51052-o_eCom.png
910794290832,ECCO POT WAVE PLATE SMOOTHER,Orange,Genderless,https://p3.aprimocdn.net/ecco/94aaa3c5-cb75-49dd-95c0-b0ad00b37738/9107942-90832-m_eCom.png
910786890000,ECCO ESSENTIAL,Black,Genderless,https://p3.aprimocdn.net/ecco/2613c652-7a82-4b4c-9a64-b19b0068b890/9107868-90000-m_eCom.png
910786691287,ECCO ESSENTIAL,Brown,Genderless,https://p3.aprimocdn.net/ecco/ce92694c-8754-46fa-90fc-b19b00685a6f/9107866-91287-m_eCom.png
910786690000,ECCO ESSENTIAL,Black,Genderless,https://p3.aprimocdn.net/ecco/32e68fd0-6b5f-4539-a829-b21b00808133/9107866-90000-m_eCom.png
910786591287,ECCO ESSENTIAL,Brown,Genderless,https://p3.aprimocdn.net/ecco/736a01cd-9ebc-4068-abe1-b14f013f8caa/9107865-91287-m_eCom.png
910786590000,ECCO ESSENTIAL,Black,Genderless,https://p3.aprimocdn.net/ecco/e0c1a08a-6685-4280-9b11-b21b007dd497/9107865-90000-m_eCom.png
52470401705,ECCO Men's Hybrid 720 Plain Toe Tie,Brown,Male,https://p3.aprimocdn.net/ecco/e53b3ac4-9d14-428e-81e4-b0860082f78f/524704-01705-o_eCom.png
52470401001,ECCO Men's Hybrid 720 Plain Toe Tie,Black,Male,https://p3.aprimocdn.net/ecco/c41923ad-b84f-453f-acc7-b0810081a761/524704-01001-o_eCom.png
42020350839,ECCO SOLICE,Grey,Female,https://p3.aprimocdn.net/ecco/dad52a7b-75d8-4b7a-88d7-b06000d783f8/420203-50839-o_eCom.png
13275360909,ECCO GOLF LT1,White,Female,https://p3.aprimocdn.net/ecco/18640e36-c42a-42b8-ba3d-b01a01038b57/132753-60909-o_eCom.png
13226411007,ECCO GOLF LT1,White,Male,https://p3.aprimocdn.net/ecco/01c74d1c-7b3f-4518-bba9-b01800e83283/132264-11007-o_eCom.png
13226401379,ECCO GOLF LT1,Grey,Male,https://p3.aprimocdn.net/ecco/9506c804-fb25-4d4e-ba9e-b01800e6bb7e/132264-01379-o_eCom.png
13226401001,ECCO GOLF LT1,Black,Male,https://p3.aprimocdn.net/ecco/2aa5a2a4-da52-439e-a3f0-b01800e56cf8/132264-01001-o_eCom.png
86040451052,ECCO STREET ACE RUGGED,Black,Male,https://p3.aprimocdn.net/ecco/532530d9-fea7-4a91-82d9-b0c500a9693a/860404-51052-o_eCom.png
86040450843,ECCO STREET ACE RUGGED,Grey,Male,https://p3.aprimocdn.net/ecco/6c5f8a52-e883-480c-b0f8-b0c800f23d71/860404-50843-o_eCom.png
86040352292,ECCO STREET ACE RUGGED,White,Female,https://p3.aprimocdn.net/ecco/cbc81041-2935-4b42-9a90-b0af0117e308/860403-52292-o_eCom.png
86024450460,ECCO STREET ACE RAL7000,White,Male,https://p3.aprimocdn.net/ecco/bee09592-84e0-438d-8417-b1a200f08f63/860244-50460-o_eCom.png
86024350460,ECCO STREET ACE RAL7000,White,Female,https://p3.aprimocdn.net/ecco/096d0de4-5f5d-458a-bd8e-b19d00c4c634/860243-50460-o_eCom.png
86021302405,ECCO STREET ACE RAL7000,Purple,Female,https://p3.aprimocdn.net/ecco/3d0feb7c-319e-450c-a376-b19c00a0a39b/860213-02405-o_eCom.png
55060461081,ECCO TRACK 30,Brown,Male,https://p3.aprimocdn.net/ecco/ee3806e1-3476-45f5-8691-b0c400912b6c/550604-61081-o_eCom.png
910780190000,ECCO SAIL L PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/fe846b6d-6dc6-4e51-876a-b0ba015ab20d/9107801-90000-m_eCom.png
910779690000,ECCO ROUND PACK L PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/4637f422-7e23-469f-9b59-b0b20159f60c/9107796-90000-m_eCom.png
910777290000,ECCO FLAT POUCH PEBBLED,Black,Genderless,https://p3.aprimocdn.net/ecco/6477427e-70e9-43eb-9373-b0b2015a2ac4/9107772-90000-m_eCom.png
45049301001,ECCO SOFT 7 TRED,Black,Female,https://p3.aprimocdn.net/ecco/c1087d43-5491-472d-abd4-b0c000c0e43c/450493-01001-o_eCom.png
21484355275,ECCO GRAINER,Black,Female,https://p3.aprimocdn.net/ecco/c2fa03cd-39cb-410a-8a5d-b19c00d2ee99/214843-55275-o_eCom.png
83081451094,ECCO BIOM 2.2,Black,Male,https://p3.aprimocdn.net/ecco/db6022b6-45af-4dc3-9842-b0c2011e8ec0/830814-51094-o_eCom.png
83081351052,ECCO BIOM 2.2,Black,Female,https://p3.aprimocdn.net/ecco/fb24ad25-e332-4eeb-bb8f-b0be00f7bd18/830813-51052-o_eCom.png
83081350874,ECCO BIOM 2.2,White,Female,https://p3.aprimocdn.net/ecco/4ffc3bb4-8750-4b6f-8f24-b0be00f7d47c/830813-50874-o_eCom.png
80322451052,ECCO BIOM C-TRAIL,Black,Male,https://p3.aprimocdn.net/ecco/9c8a6012-48e0-43d5-b2f6-b01800d4f503/803224-51052-o_eCom.png
80322351052,ECCO BIOM C-TRAIL,Black,Female,https://p3.aprimocdn.net/ecco/3cf33e5d-6bde-40ec-91e7-b01901338f16/803223-51052-o_eCom.png
52088401038,ECCO STREET 720,Blue,Male,https://p3.aprimocdn.net/ecco/92b7b9cb-5f56-489d-9760-b0c100e908d7/520884-01038-o_eCom.png
52088401001,ECCO STREET 720,Black,Male,https://p3.aprimocdn.net/ecco/9131b053-7f61-465a-8e94-b0c300ef8202/520884-01001-o_eCom.png
49002301001,ECCO MODTRAY,Black,Female,https://p3.aprimocdn.net/ecco/277a6cdf-92da-47a8-9b74-b08600a14638/490023-01001-o_eCom.png
22292359113,ECCO Sculpted Sandal 55 Nrl Of,Beige,Female,https://p3.aprimocdn.net/ecco/07ac24e9-340c-4885-8ea7-b12600aab21e/222923-59113-o_eCom.png
22292351052,ECCO Sculpted Sandal 55 Nrl Of,Black,Female,https://p3.aprimocdn.net/ecco/4285f0b8-1d26-4778-8e2a-b0c100ca3e9b/222923-51052-o_eCom.png
22291301385,ECCO Sculpted Sandal 55 Nrl An,Purple,Female,https://p3.aprimocdn.net/ecco/8074b30d-85af-4ef6-a34c-b125011934ee/222913-01385-o_eCom.png
22291301001,ECCO Sculpted Sandal 55 Nrl An,Black,Female,https://p3.aprimocdn.net/ecco/bb52b81a-0f81-40f3-a2a7-b0c100dfea03/222913-01001-o_eCom.png
22241301378,ECCO SCULPTED LX 35,Beige,Female,https://p3.aprimocdn.net/ecco/4e7c1d67-db31-4484-9ff1-b08400f2f348/222413-01378-o_eCom.png
22241301001,ECCO SCULPTED LX 35,Black,Female,https://p3.aprimocdn.net/ecco/97a7917c-40d5-463f-a059-b06d00c92159/222413-01001-o_eCom.png
20976301007,ECCO STREET 720,White,Female,https://p3.aprimocdn.net/ecco/43eb8537-2a7c-40ac-9bad-b0c500bc7f8c/209763-01007-o_eCom.png
20976301001,ECCO STREET 720,Black,Female,https://p3.aprimocdn.net/ecco/9e7ce5ef-2981-4602-bc14-b0c801178107/209763-01001-o_eCom.png
910782991273,ECCO TOTE PEBBLED,Brown,Genderless,https://p3.aprimocdn.net/ecco/7d5eafe3-493b-470e-bca0-b0b0006de6bb/9107829-91273-m_eCom.png
910794890395,ECCO SAIL MEDIUM SHINE PEBBLED,Red,Genderless,https://p3.aprimocdn.net/ecco/fe3c3ecc-fe5f-4e1b-beb6-b15000d256d3/9107948-90395-m_eCom.png
